content_id,evaluator_id,criterion,score,reason
content_001,eval_01,accuracy,2,
content_001,eval_01,completeness,0,중요한 항목이 빠져 있음
content_001,eval_01,consistency,2,
content_001,eval_01,clarity,2,
content_001,eval_01,relevance,1,
content_001,eval_01,conciseness,2,
content_001,eval_01,tone,2,
content_001,eval_02,accuracy,2,
content_001,eval_02,completeness,0,핵심 내용이 누락됨
content_001,eval_02,consistency,2,
content_001,eval_02,clarity,2,
content_001,eval_02,relevance,0,질문과 무관한 내용 포함
content_001,eval_02,conciseness,2,
content_001,eval_02,tone,2,
content_001,eval_03,accuracy,2,
content_001,eval_03,completeness,2,
content_001,eval_03,consistency,2,
content_001,eval_03,clarity,2,
content_001,eval_03,relevance,2,
content_001,eval_03,conciseness,2,
content_001,eval_03,tone,2,
content_001,eval_04,accuracy,2,
content_001,eval_04,completeness,2,
content_001,eval_04,consistency,2,
content_001,eval_04,clarity,1,
content_001,eval_04,relevance,2,
content_001,eval_04,conciseness,2,
content_001,eval_04,tone,2,
content_001,eval_05,accuracy,2,
content_001,eval_05,completeness,1,
content_001,eval_05,consistency,2,
content_001,eval_05,clarity,2,
content_001,eval_05,relevance,2,
content_001,eval_05,conciseness,1,
content_001,eval_05,tone,2,
content_001,eval_06,accuracy,2,
content_001,eval_06,completeness,2,
content_001,eval_06,consistency,2,
content_001,eval_06,clarity,2,
content_001,eval_06,relevance,1,
content_001,eval_06,conciseness,2,
content_001,eval_06,tone,2,
content_001,eval_07,accuracy,2,
content_001,eval_07,completeness,2,
content_001,eval_07,consistency,2,
content_001,eval_07,clarity,2,
content_001,eval_07,relevance,2,
content_001,eval_07,conciseness,2,
content_001,eval_07,tone,2,
content_001,eval_08,accuracy,2,
content_001,eval_08,completeness,2,
content_001,eval_08,consistency,2,
content_001,eval_08,clarity,2,
content_001,eval_08,relevance,1,
content_001,eval_08,conciseness,2,
content_001,eval_08,tone,2,
content_001,eval_09,accuracy,2,
content_001,eval_09,completeness,2,
content_001,eval_09,consistency,2,
content_001,eval_09,clarity,2,
content_001,eval_09,relevance,2,
content_001,eval_09,conciseness,2,
content_001,eval_09,tone,2,
content_001,eval_10,accuracy,2,
content_001,eval_10,completeness,1,
content_001,eval_10,consistency,2,
content_001,eval_10,clarity,2,
content_001,eval_10,relevance,2,
content_001,eval_10,conciseness,1,
